freq,C4,C3,CZ,1-2C_R,1-2B_R,1-2A_R,2C-3C_R,2B-3B_R,2A-3A_R,4-3C_R,4-3B_R,4-3A_R,1-2C_L,1-2B_L,1-2A_L,2C-3C_L,2B-3B_L,2A-3A_L,4-3C_L,4-3B_L,4-3A_L
3.5,1.4830748287373323e-12,1.6768580803303346e-12,1.979543154930265e-12,1.0358482310478677e-12,1.427684723553882e-12,2.2198950433964417e-12,5.247273268886024e-13,8.590737144078359e-13,1.2779171623421643e-12,2.702086250724808e-13,3.3011532955305027e-13,8.119927757059797e-13,5.528589649477303e-13,8.410046878079024e-13,3.756330853549645e-13,6.368158489607596e-13,8.88065481223475e-13,2.295464867575368e-13,4.85809100026106e-13,6.289750867176989e-13,2.723557499102727e-13
3.75,1.90435164267446e-12,1.8263197598733377e-12,2.3146416370047467e-12,7.085463993849541e-13,1.0263267770130742e-12,1.7031488172127032e-12,4.61975637101874e-13,8.431708395587008e-13,1.1463961177617016e-12,2.289904801788747e-13,2.984388578026056e-13,6.455810263279943e-13,3.886105173562792e-13,5.488111593300582e-13,2.583825645332282e-13,4.546997334574745e-13,6.71657430903438e-13,2.3300492391849066e-13,3.6048277693697384e-13,4.698853396541115e-13,2.3419291402214844e-13
4.0,2.3548612132802e-12,2.0777899152782696e-12,2.8181951477235637e-12,1.0009734155846364e-12,9.904785590436192e-13,1.9308717213574565e-12,1.0234625125989212e-12,1.0151202697037144e-12,2.3612649555271954e-12,3.1208842148732566e-13,3.4584177901674597e-13,9.188435288896316e-13,3.3228428022175434e-13,6.110815337011513e-13,3.0023548685716683e-13,4.311207580215952e-13,1.252343148060149e-12,3.590661619345912e-13,3.9789858726832934e-13,5.327146262255477e-13,2.116217462570074e-13
4.25,1.6381967826094297e-12,1.677043424531451e-12,2.4571387350387466e-12,2.9510469123665928e-12,1.4404568753301355e-12,2.3046366339721242e-12,2.4717856954609864e-12,1.875398763924037e-12,5.648336426691412e-12,1.2309406692971115e-12,8.855206248284009e-13,2.023866504282886e-12,4.631827432433968e-13,1.13634287069907e-12,7.405971763807459e-13,8.217601654304383e-13,3.81482418060168e-12,1.1085272997366084e-12,9.65435032012471e-13,8.860261429112521e-13,4.1418139831631345e-13
4.5,1.7772689362297621e-12,1.7617932100601934e-12,2.6094241826312933e-12,1.7633172754752595e-12,1.1610922290298809e-12,1.5687861771874335e-12,1.1507618185420673e-12,1.3805621108457041e-12,2.2350024019152025e-12,6.785292713512072e-13,6.059269961178481e-13,9.67646173918948e-13,4.89807150490165e-13,8.902778228750279e-13,5.730928215013849e-13,5.762212154280655e-13,1.9152954786419146e-12,6.765454141664679e-13,6.029540961564844e-13,6.112746964199994e-13,3.291823808431051e-13
4.75,1.3373871917219937e-12,1.4043857480194156e-12,2.298572744474083e-12,8.170828026690381e-13,8.82693892461756e-13,1.4179676655432134e-12,3.635002900078204e-13,6.55521217383001e-13,7.75751495098217e-13,2.6548429188870286e-13,3.161571867469564e-13,4.5043751748239734e-13,3.7526796138326645e-13,5.758947119791128e-13,2.3707832023361333e-13,3.8610767597331903e-13,5.990478213725246e-13,1.6985100277129577e-13,2.984642886784445e-13,3.178244047220603e-13,1.8562394906501013e-13
5.0,1.2920333790853685e-12,1.3752839981358958e-12,2.1424995444188144e-12,6.795547243398829e-13,9.88790250614256e-13,1.432215266604676e-12,2.9150748131882724e-13,6.031483912493964e-13,6.909594187530482e-13,2.99168568126605e-13,2.8131259768180924e-13,3.996993801429321e-13,3.942864951104016e-13,4.558508130281596e-13,2.0412074792158342e-13,2.7495087268287283e-13,4.4851838552994585e-13,1.4668937604642813e-13,2.250060391863217e-13,2.3298261865596014e-13,1.496748135957247e-13
5.25,1.360891716148041e-12,1.483855325495836e-12,2.0741149263781394e-12,6.836104175143056e-13,8.323713491452633e-13,1.6476442018276493e-12,3.255498654064155e-13,5.713048086083112e-13,7.373764525291592e-13,3.1300354528667197e-13,2.4093526013226716e-13,4.0951709333031544e-13,3.833372752364057e-13,4.870686054753056e-13,2.190363808453766e-13,2.5018444929437545e-13,4.119410283354512e-13,1.1479519294703593e-13,1.9098393366733218e-13,2.1549104848733904e-13,1.4466135352002447e-13
5.5,1.7742203087584178e-12,1.573539140120508e-12,2.624568789303494e-12,6.595343470222221e-13,8.680680692653659e-13,1.3111350285776522e-12,5.357713248374159e-13,6.9709666931728e-13,8.165664242933022e-13,3.053936914913839e-13,2.362158536813249e-13,5.504296142116794e-13,3.7767465772288566e-13,5.945207605029228e-13,2.585085206075386e-13,2.3467006530775224e-13,5.247922870300628e-13,1.353990534904908e-13,1.7272572460871314e-13,2.734939121238109e-13,1.6474092050711667e-13
5.75,1.6725072619963346e-12,1.5190880393842246e-12,2.700720563463843e-12,9.302818662163012e-13,9.895886700534366e-13,1.4087418222305486e-12,7.391584572788758e-13,1.2424891399343612e-12,1.36929015093683e-12,2.8711662267842124e-13,3.355512012769686e-13,8.911650020765399e-13,3.792681834608804e-13,6.578484730732499e-13,2.760827215334873e-13,3.12887815319261e-13,6.750503721559777e-13,1.612029770499382e-13,2.0261536523545114e-13,3.193679588504056e-13,1.994569354179458e-13
6.0,1.3619199172831223e-12,1.3017704667175398e-12,2.379859409860905e-12,7.126051761700625e-13,8.826392229945313e-13,1.3214131322125338e-12,4.820909564484991e-13,6.817196392586993e-13,1.0757115045714859e-12,2.1427931275635667e-13,2.4837587477522744e-13,5.868508500311846e-13,3.090368129557931e-13,6.385606698702073e-13,2.399838401130223e-13,2.7283693314852367e-13,3.831593096982347e-13,1.5033033384856219e-13,2.1081980926346652e-13,2.2941104697624145e-13,1.8224444702623363e-13
6.25,1.4644612768651872e-12,1.4648228239411886e-12,2.4720702981193877e-12,5.808819201446702e-13,6.143628450837729e-13,1.20683961714511e-12,2.613521333686791e-13,4.203320460965571e-13,6.155965160217209e-13,1.4413058681497475e-13,1.6590033495592618e-13,3.4735755449610543e-13,3.653429987248708e-13,6.738127686543886e-13,1.785352644994258e-13,2.4203760894420024e-13,2.905656138996905e-13,1.1032851007314545e-13,1.4752201078053913e-13,1.9426381234115843e-13,1.9008097934630013e-13
